iter	Passed	Remaining
403	11142	16437
404	11171	16413
405	11201	16389
406	11234	16368
407	11268	16349
408	11296	16323
409	11327	16300
410	11356	16274
411	11388	16253
412	11416	16226
413	11445	16199
414	11472	16172
415	11502	16147
416	11529	16119
417	11558	16092
418	11583	16062
419	11609	16032
420	11638	16005
421	11666	15979
422	11692	15949
423	11719	15921
424	11749	15896
425	11775	15865
426	11807	15844
427	11839	15823
428	11870	15800
429	11898	15772
430	11927	15746
431	11954	15717
432	11981	15689
433	12008	15661
434	12039	15637
435	12068	15611
436	12097	15585
437	12126	15559
438	12155	15533
439	12183	15505
440	12212	15479
441	12239	15451
442	12264	15420
443	12292	15393
444	12321	15367
445	12349	15340
446	12378	15313
447	12410	15290
448	12439	15265
449	12468	15238
450	12497	15213
451	12522	15182
452	12552	15157
453	12582	15131
454	12609	15103
455	12634	15072
456	12663	15046
457	12691	15018
458	12715	14987
459	12747	14963
460	12773	14934
461	12802	14908
462	12830	14881
463	12860	14856
464	12888	14828
465	12915	14800
466	12942	14771
467	12967	14741
468	12999	14718
469	13029	14692
470	13056	14664
471	13083	14635
472	13110	14606
473	13137	14578
474	13166	14552
475	13193	14523
476	13219	14494
477	13248	14468
478	13274	14438
479	13303	14412
480	13332	14385
481	13360	14358
482	13389	14332
483	13418	14305
484	13447	14279
485	13474	14250
486	13501	14222
487	13530	14196
488	13558	14168
489	13586	14140
490	13612	14111
491	13638	14081
492	13666	14054
493	13694	14027
494	13723	14000
495	13748	13970
496	13774	13941
497	13800	13911
498	13833	13888
499	13861	13861
500	13887	13832
501	13914	13804
502	13943	13777
503	13973	13751
504	14002	13725
505	14029	13696
506	14058	13670
507	14082	13639
508	14112	13613
509	14140	13586
510	14168	13558
511	14199	13533
512	14229	13508
513	14256	13480
514	14286	13454
515	14316	13428
516	14346	13402
517	14373	13374
518	14402	13347
519	14431	13320
520	14457	13292
521	14485	13264
522	14514	13237
523	14542	13210
524	14571	13183
525	14597	13154
526	14628	13129
527	14655	13101
528	14681	13071
529	14708	13043
530	14735	13015
531	14762	12986
532	14789	12958
533	14820	12932
534	14850	12907
535	14881	12882
536	14918	12862
537	14948	12836
538	14978	12811
539	15009	12785
540	15036	12757
541	15063	12729
542	15093	12703
543	15121	12675
544	15151	12649
545	15178	12621
546	15209	12595
547	15237	12568
548	15268	12543
549	15296	12515
550	15328	12490
551	15354	12461
552	15383	12435
553	15412	12407
554	15440	12380
555	15469	12353
556	15498	12326
557	15526	12298
558	15554	12270
559	15580	12242
560	15612	12216
561	15638	12188
562	15668	12161
563	15700	12137
564	15728	12109
565	15758	12083
566	15792	12060
567	15833	12042
568	15862	12015
569	15894	11990
570	15922	11962
571	15952	11936
572	15982	11910
573	16011	11883
574	16040	11856
575	16068	11828
576	16097	11801
577	16130	11776
578	16158	11749
579	16192	11725
580	16221	11698
581	16249	11670
582	16284	11647
583	16312	11619
584	16346	11596
585	16377	11570
586	16405	11542
587	16431	11513
588	16460	11485
589	16489	11458
590	16520	11432
591	16548	11404
592	16576	11377
593	16607	11351
594	16635	11323
595	16663	11295
596	16691	11267
597	16721	11240
598	16753	11215
599	16782	11188
600	16815	11163
601	16845	11137
602	16881	11114
603	16909	11086
604	16943	11062
605	16977	11038
606	17009	11012
607	17035	10983
608	17062	10954
609	17088	10925
610	17114	10896
611	17144	10869
612	17176	10844
613	17205	10816
614	17232	10787
615	17260	10759
616	17290	10733
617	17322	10707
618	17356	10683
619	17385	10655
620	17415	10629
621	17444	10601
622	17475	10574
623	17507	10549
624	17537	10522
625	17568	10496
626	17595	10467
627	17624	10439
628	17651	10411
629	17678	10382
630	17707	10355
631	17734	10326
632	17764	10299
633	17790	10270
634	17819	10242
635	17848	10215
636	17876	10187
637	17905	10159
638	17933	10131
639	17961	10103
640	17991	10076
641	18019	10048
642	18051	10022
643	18081	9995
644	18108	9966
645	18135	9937
646	18164	9910
647	18192	9882
648	18223	9855
649	18251	9827
650	18281	9800
651	18310	9772
652	18339	9745
653	18369	9718
654	18397	9690
655	18425	9662
