iter	RMSE
0	2.662258904
1	2.613252975
2	2.570006069
3	2.530240692
4	2.486734822
5	2.452162828
6	2.424507202
7	2.38479729
8	2.351326818
9	2.319713587
10	2.293784351
11	2.26457744
12	2.23553341
13	2.20828169
14	2.188278057
15	2.165721725
16	2.142636672
17	2.127291437
18	2.108603348
19	2.095167521
20	2.077134452
21	2.061213295
22	2.04506148
23	2.022379934
24	2.006248736
25	1.988028981
26	1.965346309
27	1.952104209
28	1.936149041
29	1.919934245
30	1.907668337
31	1.894735259
32	1.880719687
33	1.865463359
34	1.852086563
35	1.841224269
36	1.829378579
37	1.813360937
38	1.797809997
39	1.788131346
40	1.77848205
41	1.765549608
42	1.753839235
43	1.744378773
44	1.729587781
45	1.717338366
46	1.708143155
47	1.698423599
48	1.688186183
49	1.681563091
50	1.671228319
51	1.659788646
52	1.652184484
53	1.648200034
54	1.639976145
55	1.634780172
56	1.627954222
57	1.618192845
58	1.612821134
59	1.605157829
60	1.600970265
61	1.594319022
62	1.588297679
63	1.58210211
64	1.575601767
65	1.56826527
66	1.561176311
67	1.55410493
68	1.550008002
69	1.543186282
70	1.53864221
71	1.531673568
72	1.527432092
73	1.520656981
74	1.514744774
75	1.508747349
76	1.504278005
77	1.498289448
78	1.492191432
79	1.489032953
80	1.484458504
81	1.479690972
82	1.476209371
83	1.471596186
84	1.466492294
85	1.463985576
86	1.459820431
87	1.457724111
88	1.453917877
89	1.450971533
90	1.447499557
91	1.444927221
92	1.440374037
93	1.435739592
94	1.431201304
95	1.427848586
96	1.424496197
97	1.421285382
98	1.418114241
99	1.412777727
100	1.409868868
101	1.406866654
102	1.403082415
103	1.400164016
104	1.397522471
105	1.395140652
106	1.393547364
107	1.391711058
108	1.386396517
109	1.381044218
110	1.3763795
111	1.374587027
112	1.373166901
113	1.371649499
114	1.367777537
115	1.364452471
116	1.362936309
117	1.360360816
118	1.357620283
119	1.354042808
120	1.352189057
121	1.348345492
122	1.346351228
123	1.34363096
124	1.340450964
125	1.339113627
126	1.337730963
127	1.336277676
128	1.334516651
129	1.332975305
130	1.330838709
131	1.328857968
132	1.326294641
133	1.324729786
134	1.323252828
135	1.320941418
136	1.319627731
137	1.317451022
138	1.316695921
139	1.314105539
140	1.311064184
141	1.307987837
142	1.306554589
143	1.30434117
144	1.301962345
145	1.300342818
146	1.298906235
147	1.297783553
148	1.296103284
149	1.294810098
150	1.293242878
151	1.291414862
152	1.289323659
153	1.287709208
154	1.284800998
155	1.283494215
156	1.281579744
157	1.279618338
158	1.278153966
159	1.275559559
160	1.274347684
161	1.271268933
162	1.269437646
163	1.2672196
164	1.265146818
165	1.262758436
166	1.260674738
167	1.258155624
168	1.256787789
169	1.253971872
170	1.251711568
171	1.249899766
172	1.248034427
173	1.24601106
174	1.243767555
175	1.241259023
176	1.239676229
177	1.236336778
178	1.234954213
179	1.232868497
180	1.231814099
181	1.229521629
182	1.227214462
183	1.224775705
184	1.22256988
185	1.22066223
186	1.21904428
187	1.218033517
188	1.2160042
189	1.214909438
190	1.213079372
191	1.211233772
192	1.208793878
193	1.205879734
194	1.203401493
195	1.201959631
196	1.200109058
197	1.198472142
198	1.19602057
199	1.194291532
200	1.19178588
201	1.18924277
202	1.18761486
203	1.185955198
204	1.184189299
205	1.181557028
206	1.180073702
207	1.178539938
208	1.176661569
209	1.175625752
210	1.173731302
211	1.171731211
212	1.169955989
213	1.167880265
214	1.166155484
215	1.163870303
216	1.161793143
217	1.16001027
218	1.158470676
219	1.156762509
220	1.154372224
221	1.152671608
222	1.151016061
223	1.149873769
224	1.148436626
225	1.147015322
226	1.145355666
227	1.143739326
228	1.142550655
229	1.141492863
230	1.140046673
231	1.138859935
232	1.13741932
233	1.136000712
234	1.134239915
235	1.132031553
236	1.13063263
237	1.128727137
238	1.127660042
239	1.125766787
240	1.124266561
241	1.122905072
242	1.120970458
243	1.119727874
244	1.118144765
245	1.116470844
246	1.114927689
247	1.113511607
248	1.112006946
249	1.110781441
250	1.109828359
251	1.108038431
252	1.10715711
253	1.10578131
254	1.104392221
255	1.103350824
256	1.101915202
257	1.100565472
258	1.099212284
259	1.098039917
260	1.096704712
261	1.09516308
262	1.093778083
263	1.092880674
264	1.091737684
265	1.090226083
266	1.089067858
267	1.087596977
268	1.08634025
269	1.085108649
270	1.083368873
271	1.082192514
272	1.081312711
273	1.079788181
274	1.078667068
275	1.077054209
276	1.075912761
277	1.074757652
278	1.073706648
279	1.072798345
280	1.07163397
281	1.070715878
282	1.069254573
283	1.067953917
284	1.066849882
285	1.065323265
286	1.064019663
287	1.063211494
288	1.061789242
289	1.060599974
290	1.059681259
291	1.05892663
292	1.057973604
293	1.057154146
294	1.056035142
295	1.054843538
296	1.053692852
297	1.052290114
298	1.051197612
299	1.04994151
300	1.049242824
301	1.047710266
302	1.046670478
303	1.045642994
304	1.044665134
305	1.043547496
306	1.042117706
307	1.04128853
308	1.040312283
309	1.03914125
310	1.038065719
311	1.036800898
312	1.035545142
313	1.034614175
314	1.03372744
315	1.032736646
316	1.031709338
317	1.030347573
318	1.029067707
319	1.028017183
320	1.027158019
321	1.026276539
322	1.025242557
323	1.024183104
324	1.023172912
325	1.022166755
326	1.021080812
327	1.020121247
328	1.018597914
329	1.017646009
330	1.016483804
331	1.015270308
332	1.014423417
333	1.013446066
334	1.0120015
335	1.011144149
336	1.010339987
337	1.009458936
338	1.008521616
339	1.007498859
340	1.006501331
341	1.005489344
342	1.004344431
343	1.002965585
344	1.002214357
345	1.00153281
346	1.000524762
347	0.999824885
348	0.9988909876
349	0.9979651516
350	0.9966340068
351	0.9957384022
352	0.9946791628
353	0.9937172194
354	0.9927062271
355	0.9917410923
356	0.9910380985
357	0.9902712071
358	0.989160819
359	0.9882070223
360	0.9872364761
361	0.9862230897
362	0.98563878
363	0.9847029225
364	0.9838522182
365	0.9827837192
366	0.9816816626
367	0.9806296906
368	0.979960448
369	0.9788807082
370	0.9782124891
371	0.9773782849
372	0.9765859334
373	0.9755647981
374	0.9747101964
375	0.9739730736
376	0.9731293673
377	0.9722975069
378	0.971137434
379	0.9702378662
380	0.9694338842
381	0.9685535105
382	0.9676397901
383	0.9668390103
384	0.9659957608
385	0.9651534961
386	0.9645123092
387	0.9635947742
388	0.9627620582
389	0.9619877325
390	0.961024351
391	0.9601735513
392	0.9593498858
393	0.958671635
394	0.9580133522
395	0.9568350903
396	0.9561701373
397	0.9552721419
398	0.9545640959
399	0.953664647
400	0.9529067636
401	0.9525241
402	0.9517461912
403	0.9508881758
404	0.9500384133
405	0.9491009296
406	0.9479022079
407	0.9469681231
408	0.9460627053
409	0.945132989
410	0.9443728876
411	0.9435321392
412	0.9424919115
413	0.9418072786
414	0.9408259018
415	0.9399128425
416	0.9389045905
417	0.9381752055
418	0.9375086716
419	0.936808869
420	0.9361000577
421	0.9353609405
422	0.9345034686
423	0.9337102921
424	0.9327730929
425	0.9320222522
426	0.9314971076
427	0.9304065004
428	0.9295416885
429	0.9286914232
430	0.9279562604
431	0.92737023
432	0.9264529724
433	0.925851181
434	0.9248179956
435	0.9240587781
436	0.9234284248
437	0.9225190258
438	0.9217999719
439	0.9210296733
440	0.9202682357
441	0.9196258818
442	0.9188806778
443	0.9181234563
444	0.9174446433
445	0.9167333531
446	0.9161896819
447	0.9153951556
448	0.9145143792
449	0.913822769
450	0.9132266566
451	0.9124792194
452	0.9116739419
453	0.9108979791
454	0.9100863889
455	0.9096944705
456	0.9089446905
457	0.908307693
458	0.9076234532
459	0.9069268312
460	0.9059491263
461	0.90519184
462	0.9045582061
463	0.9039476672
464	0.9033295833
465	0.9027298397
466	0.9020244247
467	0.9012334868
468	0.9003052356
469	0.8996258115
470	0.8989232679
471	0.8982632445
472	0.8977092602
473	0.8969820354
474	0.8960453926
475	0.8952931686
476	0.8944213243
477	0.8935682862
478	0.8926735514
479	0.8918724228
480	0.8909802459
481	0.8903774211
482	0.88945707
483	0.8888095563
484	0.8882218493
485	0.8873935154
486	0.8866200547
487	0.8859613212
488	0.8851881765
489	0.8844361346
490	0.8838296103
491	0.8832829289
492	0.8826657178
493	0.8819169216
494	0.8812063359
495	0.8808074734
496	0.8801234921
497	0.8794662124
498	0.8787979014
499	0.8781575176
500	0.8776460911
501	0.8769801766
502	0.876338541
503	0.8757348419
504	0.8751097301
505	0.8744411453
506	0.8737504473
507	0.8731649275
508	0.8725214359
509	0.8718792217
510	0.8713838333
511	0.8704679176
512	0.8696166844
513	0.8689720721
514	0.8683297977
515	0.867521668
516	0.866847549
517	0.8664083216
518	0.8658432162
519	0.8650899113
520	0.8645755558
521	0.8639365826
522	0.8633789484
523	0.8626440286
524	0.8618916222
525	0.8612876869
526	0.8606405359
527	0.8599179533
528	0.8592079205
529	0.8585176736
530	0.8578683358
531	0.8572814467
532	0.8567122176
533	0.8560209497
534	0.8554405628
535	0.8549194976
536	0.8541853903
537	0.8535783446
538	0.8530711108
539	0.8523964096
540	0.8519384616
541	0.8511829437
542	0.8505814778
543	0.8501174945
544	0.8496192799
545	0.8488102255
546	0.848296377
547	0.8476654973
548	0.8470676534
549	0.8463053755
550	0.8456001523
551	0.8450842967
552	0.8445123441
553	0.8439543551
554	0.8435552328
555	0.8430093854
556	0.8422268057
557	0.8417044935
558	0.8410893107
559	0.8403626284
560	0.8396213662
561	0.839058029
562	0.8385176438
563	0.8377188536
564	0.837142948
565	0.8366215557
566	0.8359757715
567	0.8355286717
568	0.8349829028
569	0.834549093
570	0.8339279515
571	0.8335123822
572	0.8329616483
573	0.8323418887
574	0.8319012806
575	0.8312835028
576	0.830820648
577	0.8301393615
578	0.8296852325
579	0.8290354348
580	0.8282491448
581	0.8277187408
582	0.8271282846
583	0.8266281378
584	0.8260276865
585	0.8254902486
586	0.824933287
587	0.8243652112
588	0.8237911029
589	0.823197294
590	0.8224081974
591	0.821680472
592	0.8210847134
593	0.8204407706
594	0.8198168298
595	0.8191370126
596	0.8186162768
597	0.8181839872
598	0.8175926365
599	0.8169483197
600	0.8165642394
601	0.8158524778
602	0.815326557
603	0.8147341273
604	0.8140106313
605	0.8134355433
606	0.8129220068
607	0.8123775976
608	0.8118382764
609	0.8113317653
610	0.8106709011
611	0.810114533
612	0.8094146674
613	0.8088312224
614	0.8083537278
615	0.8078514642
616	0.8072550836
617	0.8066858427
618	0.8061358193
619	0.8055758318
620	0.8050138387
621	0.8044317414
622	0.803826619
623	0.8031701851
624	0.8025719171
625	0.8019099148
626	0.8013834968
627	0.8009515731
628	0.800587314
629	0.7999150183
630	0.7993163838
631	0.7987397643
632	0.7982077982
633	0.7977409612
634	0.7970644009
635	0.7963825758
636	0.7958330579
637	0.7952611677
638	0.7946521583
639	0.7940577548
640	0.7932767081
641	0.7928044923
642	0.7920951628
643	0.7912402507
644	0.790650336
645	0.7901133924
646	0.7897812996
647	0.7892492318
648	0.7887502066
649	0.7882049018
650	0.7876797827
651	0.7871374367
652	0.7866299061
653	0.7859287757
654	0.7853984419
655	0.7850445351
656	0.7846190799
657	0.7840943451
658	0.7835053186
659	0.7829951316
660	0.7825546498
661	0.7820929585
662	0.781696747
663	0.7811271096
664	0.7806340768
665	0.7799694512
666	0.7795745082
667	0.7791139568
668	0.7784789124
669	0.7778810895
670	0.7773613067
671	0.7766519661
672	0.7761626222
673	0.7756422867
674	0.7750300794
675	0.77447314
676	0.7741455295
677	0.773721414
678	0.7732089822
679	0.7726899251
680	0.7722511121
681	0.7717011977
682	0.7711851866
683	0.7705245111
684	0.7700848071
685	0.7695753986
686	0.7691377227
687	0.7685923403
688	0.7681262922
689	0.7676071983
690	0.7669795154
691	0.7664169269
692	0.7658765391
693	0.7654031425
694	0.7648820755
695	0.7644383153
696	0.7640266529
697	0.7635505411
698	0.7628301266
699	0.7623220396
700	0.7617581998
701	0.7612284202
702	0.7606383884
703	0.7602331302
704	0.7598781935
705	0.7592546723
706	0.7587693881
707	0.7581980152
708	0.7577537392
709	0.7572380263
710	0.7568313603
711	0.7563727531
712	0.755895429
713	0.7552547986
714	0.7549124728
715	0.7543841595
716	0.7538594049
717	0.7533108499
718	0.7527930729
719	0.7523223883
720	0.7518734403
721	0.7513861352
722	0.7510200538
723	0.7505160806
724	0.7499667669
725	0.7494377238
726	0.7488777894
727	0.7484170078
728	0.747977988
729	0.7474109723
730	0.7468157813
731	0.7463186425
732	0.7457371283
733	0.745115792
734	0.7446452289
735	0.7442532686
736	0.7437451976
737	0.7432785911
738	0.7428434542
739	0.7423373334
740	0.7419383333
741	0.7415523852
742	0.7411754092
743	0.740706952
744	0.7403183356
745	0.739776915
746	0.7391755714
747	0.7387635373
748	0.7383284193
749	0.7379565196
750	0.7373616056
751	0.7368313562
752	0.7364182797
753	0.7358224891
754	0.7353704535
755	0.7348860541
756	0.7345614773
757	0.7341983478
758	0.7337184017
759	0.7333139181
760	0.7328725976
761	0.7323776653
762	0.7319538723
763	0.7314820785
764	0.7310357581
765	0.7306012539
766	0.7299604652
767	0.7295219342
768	0.729057939
769	0.7286448202
770	0.7282550081
771	0.7278320515
772	0.7274355939
773	0.7270239989
774	0.7266074682
775	0.7262263674
776	0.7258151352
777	0.7252138434
778	0.7246835987
779	0.724236788
780	0.7238709689
781	0.7235000286
782	0.723114256
783	0.7227537062
784	0.722465558
785	0.721975254
786	0.721477139
787	0.7209244275
788	0.7204170418
789	0.7199469471
790	0.7196272663
791	0.7192134312
792	0.7186530378
793	0.7181840811
794	0.7175325281
795	0.7171306314
796	0.7166140234
797	0.7162228441
798	0.71580422
799	0.7154538447
800	0.7149907803
801	0.7147040218
802	0.7142261807
803	0.7136853789
804	0.7132792022
805	0.7126645142
806	0.7121769469
807	0.7117542187
808	0.7112903506
809	0.7108756909
810	0.7103854313
811	0.7099362747
812	0.7095474281
813	0.7090560759
814	0.7085210206
815	0.708055315
816	0.7075591732
817	0.7071423186
818	0.7068757899
819	0.7065516675
820	0.7061588843
821	0.7057336695
822	0.7052814136
823	0.7049509883
824	0.7046036772
825	0.7042261819
826	0.7039184909
827	0.703275899
828	0.7028912878
829	0.7024305496
830	0.7019958593
831	0.7017473324
832	0.7014488104
833	0.7010377058
834	0.7006342354
835	0.7002308939
836	0.6998530361
837	0.6993296554
838	0.6988756105
839	0.6984192852
840	0.6979084961
841	0.6974700083
842	0.6969081453
843	0.6966688377
844	0.6962712401
845	0.6958147889
846	0.6954254111
847	0.6950967594
848	0.6946910612
849	0.6942587909
850	0.6939085659
851	0.6934547725
852	0.6930688298
853	0.6924778303
854	0.6920448324
855	0.691588747
856	0.6912396729
857	0.6908689904
858	0.6904148883
859	0.6899176846
860	0.6895042692
861	0.6891557972
862	0.6886655559
863	0.6881612663
864	0.6877670792
865	0.687219216
866	0.6865886793
867	0.6861933019
868	0.6859310982
869	0.6854893028
870	0.6849890865
871	0.6844679125
872	0.6841167793
873	0.683728635
874	0.6832856784
875	0.6827871351
876	0.6824060613
877	0.6820334566
878	0.6817071404
879	0.6812668059
880	0.6808085029
881	0.680365089
882	0.6799403447
883	0.6795618005
884	0.679151878
885	0.6786250583
886	0.6782308232
887	0.6778569828
888	0.6776004967
889	0.6771806734
890	0.6767153575
891	0.6762843345
892	0.6759209575
893	0.6755738526
894	0.6752393535
895	0.6747489674
896	0.6741946132
897	0.6738133457
898	0.6733680408
899	0.6730355941
900	0.6724920069
901	0.672242248
902	0.6717952175
903	0.671204146
904	0.6707016291
905	0.6702994491
906	0.6699409209
907	0.6694849827
908	0.6690870045
909	0.6685895516
910	0.6682655703
911	0.6678216408
912	0.6672603663
913	0.6668837546
914	0.6663644916
915	0.6659664873
916	0.6654891004
917	0.6651790403
918	0.6647829529
919	0.664502106
920	0.6640469044
921	0.6637245797
922	0.6633451112
923	0.663059791
924	0.6626618163
925	0.662266597
926	0.6618200449
927	0.6613835045
928	0.661040397
929	0.6606134841
930	0.6603195913
931	0.6599142445
932	0.6594999945
933	0.6590184129
934	0.6586724522
935	0.6582944021
936	0.657968389
937	0.6576763333
938	0.6572997606
939	0.6569633706
940	0.6565787514
941	0.6562321568
942	0.6558996641
943	0.6554108112
944	0.6550762616
945	0.6546928098
946	0.6542312729
947	0.6538333941
948	0.6534873109
949	0.6531226223
950	0.6527440984
951	0.6523666097
952	0.6519221464
953	0.6515522554
954	0.651180595
955	0.6507914332
956	0.6502574725
957	0.6498383561
958	0.6494974099
959	0.6489150775
960	0.6486327517
961	0.6483517507
962	0.6480325202
963	0.6476508657
964	0.6471425226
965	0.646830759
966	0.6465406355
967	0.6462083294
968	0.6458500952
969	0.6455633789
970	0.6451637897
971	0.6447443198
972	0.644294674
973	0.6439160508
974	0.6435132287
975	0.6431829845
976	0.642833673
977	0.6425682942
978	0.6422784996
979	0.6419513014
980	0.6414903363
981	0.6411507861
982	0.6406827569
983	0.6403289868
984	0.6399685316
985	0.6395915931
986	0.639210613
987	0.6388187986
988	0.6384916578
989	0.6381635603
990	0.6378341105
991	0.6375521077
992	0.6372356722
993	0.6368394666
994	0.6363075917
995	0.6360338377
996	0.6358189625
997	0.6354150094
998	0.6351060922
999	0.6347432179
